training_step, return
0,14.0
1,14.0
2,18.0
3,16.0
4,37.0
5,26.0
6,17.0
7,32.0
8,34.0
9,13.0
10,19.0
11,13.0
12,69.0
13,18.0
14,11.0
15,11.0
16,16.0
17,12.0
18,18.0
19,17.0
20,12.0
21,20.0
22,23.0
23,15.0
24,16.0
25,19.0
26,19.0
27,15.0
28,12.0
29,9.0
30,17.0
31,13.0
32,10.0
33,11.0
34,13.0
35,11.0
36,39.0
37,14.0
38,29.0
39,10.0
40,12.0
41,11.0
42,12.0
43,22.0
44,13.0
45,13.0
46,12.0
47,10.0
48,13.0
49,16.0
50,9.0
51,14.0
52,20.0
53,10.0
54,10.0
55,15.0
56,12.0
57,12.0
58,31.0
59,13.0
60,18.0
61,15.0
62,21.0
63,12.0
64,11.0
65,24.0
66,18.0
67,22.0
68,10.0
69,10.0
70,48.0
71,16.0
72,14.0
73,11.0
74,13.0
75,19.0
76,24.0
77,17.0
78,20.0
79,9.0
80,16.0
81,21.0
82,15.0
83,20.0
84,16.0
85,20.0
86,20.0
87,19.0
88,17.0
89,15.0
90,26.0
91,44.0
92,19.0
93,19.0
94,26.0
95,19.0
96,15.0
97,15.0
98,16.0
99,26.0
100,24.0
101,12.0
102,16.0
103,32.0
104,24.0
105,9.0
106,15.0
107,12.0
108,11.0
109,42.0
110,24.0
111,23.0
112,10.0
113,24.0
114,14.0
115,11.0
116,13.0
117,25.0
118,14.0
119,13.0
120,15.0
121,17.0
122,12.0
123,11.0
124,18.0
125,20.0
126,16.0
127,17.0
128,26.0
129,11.0
130,46.0
131,29.0
132,11.0
133,11.0
134,28.0
135,22.0
136,14.0
137,38.0
138,17.0
139,10.0
140,11.0
141,17.0
142,28.0
143,15.0
144,11.0
145,22.0
146,9.0
147,25.0
148,43.0
149,27.0
150,18.0
151,16.0
152,31.0
153,13.0
154,9.0
155,13.0
156,19.0
157,12.0
158,17.0
159,19.0
160,17.0
161,10.0
162,13.0
163,18.0
164,15.0
165,27.0
166,24.0
167,17.0
168,18.0
169,21.0
170,26.0
171,20.0
172,9.0
173,12.0
174,18.0
175,10.0
176,9.0
177,10.0
178,16.0
179,34.0
180,14.0
181,9.0
182,29.0
183,10.0
184,16.0
185,17.0
186,13.0
187,14.0
188,16.0
189,16.0
190,20.0
191,53.0
192,10.0
193,14.0
194,12.0
