training_step, return
0,9.0
1,11.0
2,27.0
3,19.0
4,27.0
5,16.0
6,12.0
7,38.0
8,19.0
9,11.0
10,22.0
11,13.0
12,43.0
13,24.0
14,20.0
15,30.0
16,21.0
17,14.0
18,14.0
19,16.0
20,16.0
21,12.0
22,16.0
23,9.0
24,17.0
25,18.0
26,41.0
27,33.0
28,18.0
29,24.0
30,11.0
31,21.0
32,37.0
33,16.0
34,12.0
35,31.0
36,25.0
37,11.0
38,18.0
39,13.0
40,12.0
41,17.0
42,12.0
43,17.0
44,75.0
45,19.0
46,23.0
47,20.0
48,22.0
49,34.0
50,13.0
51,16.0
52,42.0
53,21.0
54,26.0
55,36.0
56,26.0
57,27.0
58,14.0
59,12.0
60,22.0
61,17.0
62,33.0
63,28.0
64,20.0
65,16.0
66,11.0
67,20.0
68,16.0
69,26.0
70,18.0
71,15.0
72,17.0
73,41.0
74,48.0
75,24.0
76,21.0
77,16.0
78,35.0
79,18.0
80,30.0
81,21.0
82,16.0
83,21.0
84,34.0
85,17.0
86,10.0
87,14.0
88,15.0
89,27.0
90,57.0
91,19.0
92,13.0
93,16.0
94,19.0
95,14.0
96,29.0
97,12.0
98,71.0
99,29.0
100,21.0
101,10.0
102,23.0
103,31.0
104,20.0
105,16.0
106,30.0
107,19.0
108,27.0
109,20.0
110,26.0
111,17.0
112,15.0
113,16.0
114,14.0
115,23.0
116,12.0
117,9.0
118,22.0
119,21.0
120,12.0
121,12.0
122,14.0
123,61.0
124,13.0
125,47.0
126,11.0
127,34.0
128,55.0
129,21.0
130,10.0
131,26.0
132,19.0
133,11.0
134,42.0
135,25.0
136,21.0
137,34.0
138,39.0
139,25.0
140,16.0
141,25.0
142,28.0
143,46.0
144,12.0
145,20.0
146,17.0
147,14.0
148,20.0
149,26.0
150,16.0
151,13.0
152,20.0
153,30.0
154,17.0
155,20.0
156,11.0
157,37.0
158,11.0
159,73.0
160,20.0
161,20.0
162,19.0
163,17.0
164,26.0
165,9.0
166,42.0
167,15.0
168,19.0
169,14.0
170,16.0
171,16.0
172,14.0
173,19.0
174,33.0
175,21.0
176,28.0
177,59.0
178,14.0
179,23.0
180,37.0
181,15.0
182,65.0
183,42.0
184,26.0
185,15.0
186,22.0
187,13.0
188,18.0
189,13.0
190,14.0
191,18.0
192,37.0
193,14.0
194,69.0
195,19.0
196,12.0
197,18.0
198,10.0
199,25.0
200,19.0
201,26.0
202,20.0
203,21.0
204,22.0
205,57.0
206,14.0
207,16.0
208,21.0
209,56.0
210,17.0
211,17.0
212,16.0
213,17.0
214,69.0
215,23.0
216,15.0
217,16.0
218,20.0
219,15.0
220,16.0
221,22.0
222,41.0
223,22.0
224,13.0
225,17.0
226,14.0
227,17.0
228,16.0
229,21.0
230,31.0
231,33.0
232,23.0
233,12.0
234,34.0
235,11.0
236,16.0
237,16.0
238,19.0
239,12.0
240,13.0
241,10.0
242,10.0
243,26.0
244,35.0
245,26.0
246,12.0
247,33.0
248,23.0
249,24.0
250,18.0
251,16.0
252,31.0
253,16.0
254,11.0
255,22.0
256,16.0
257,16.0
258,10.0
259,18.0
260,20.0
261,23.0
262,18.0
263,25.0
264,30.0
265,57.0
266,14.0
267,18.0
268,20.0
269,27.0
270,17.0
271,22.0
272,13.0
273,16.0
274,29.0
275,45.0
276,10.0
277,10.0
278,18.0
279,18.0
280,11.0
281,12.0
282,22.0
283,15.0
284,12.0
285,14.0
286,12.0
287,10.0
288,26.0
289,11.0
290,22.0
291,20.0
292,13.0
293,12.0
294,18.0
295,18.0
296,22.0
297,12.0
298,32.0
299,29.0
300,13.0
301,15.0
302,14.0
303,55.0
304,23.0
305,13.0
306,42.0
307,27.0
308,17.0
309,15.0
310,14.0
311,23.0
312,26.0
313,18.0
314,69.0
315,26.0
316,17.0
317,62.0
318,20.0
319,19.0
320,12.0
321,17.0
322,12.0
323,14.0
324,11.0
325,22.0
326,23.0
327,32.0
328,34.0
329,15.0
330,15.0
331,53.0
332,15.0
333,15.0
334,17.0
335,22.0
336,12.0
337,12.0
338,20.0
339,11.0
340,17.0
341,14.0
342,78.0
343,19.0
344,15.0
345,13.0
346,12.0
347,11.0
348,20.0
349,23.0
350,28.0
351,42.0
352,13.0
353,10.0
354,11.0
355,27.0
356,19.0
357,13.0
358,13.0
359,13.0
360,36.0
361,92.0
362,28.0
363,59.0
364,14.0
365,9.0
366,14.0
367,35.0
368,22.0
369,13.0
370,12.0
371,16.0
372,14.0
373,54.0
374,27.0
375,19.0
376,12.0
377,10.0
378,26.0
379,14.0
380,66.0
381,73.0
382,33.0
383,60.0
384,21.0
385,17.0
386,20.0
387,36.0
388,23.0
389,23.0
390,20.0
391,33.0
392,11.0
393,29.0
394,37.0
395,13.0
396,19.0
397,14.0
398,17.0
399,21.0
400,14.0
401,21.0
402,20.0
403,23.0
404,14.0
405,71.0
406,12.0
407,10.0
408,12.0
409,15.0
410,15.0
411,15.0
412,25.0
413,15.0
414,14.0
415,18.0
416,16.0
417,10.0
418,38.0
419,11.0
420,12.0
421,36.0
422,15.0
423,12.0
424,36.0
425,39.0
426,14.0
427,67.0
428,33.0
429,20.0
430,13.0
431,15.0
432,16.0
433,17.0
434,30.0
435,10.0
436,18.0
437,36.0
438,14.0
439,11.0
440,15.0
441,62.0
442,10.0
443,33.0
444,22.0
445,30.0
446,36.0
447,37.0
448,16.0
449,19.0
450,11.0
451,25.0
452,26.0
453,28.0
454,32.0
455,17.0
456,17.0
457,40.0
458,14.0
459,42.0
460,31.0
461,13.0
462,30.0
463,28.0
464,17.0
465,13.0
466,53.0
467,34.0
468,11.0
469,17.0
470,14.0
471,16.0
472,21.0
473,33.0
474,58.0
475,34.0
476,20.0
477,14.0
478,17.0
479,41.0
480,17.0
481,16.0
482,19.0
483,15.0
484,11.0
485,12.0
486,12.0
487,17.0
488,23.0
489,18.0
490,13.0
491,23.0
492,13.0
493,22.0
494,21.0
495,15.0
496,16.0
497,24.0
498,14.0
499,50.0
500,38.0
501,10.0
502,16.0
503,28.0
504,25.0
505,36.0
506,28.0
507,13.0
508,10.0
509,20.0
510,49.0
511,16.0
512,11.0
513,19.0
514,26.0
515,35.0
516,15.0
517,18.0
518,9.0
519,25.0
520,11.0
521,13.0
522,23.0
523,11.0
524,12.0
525,16.0
526,21.0
527,14.0
528,11.0
529,12.0
530,14.0
531,14.0
532,32.0
533,11.0
534,26.0
535,11.0
536,10.0
537,9.0
538,39.0
539,13.0
540,16.0
541,15.0
542,10.0
543,14.0
544,12.0
545,18.0
546,18.0
547,11.0
548,8.0
549,12.0
550,12.0
551,18.0
552,17.0
553,11.0
554,10.0
555,15.0
556,19.0
557,12.0
558,11.0
559,18.0
560,12.0
561,13.0
562,15.0
563,10.0
564,23.0
565,12.0
566,12.0
567,21.0
568,29.0
569,10.0
570,12.0
571,17.0
572,12.0
573,10.0
574,12.0
575,52.0
576,17.0
577,11.0
578,19.0
579,19.0
580,11.0
581,18.0
582,14.0
583,15.0
584,14.0
585,21.0
586,19.0
587,14.0
588,10.0
589,10.0
590,12.0
591,11.0
592,16.0
593,33.0
594,13.0
595,23.0
596,17.0
597,25.0
598,12.0
599,12.0
600,12.0
601,19.0
602,19.0
603,14.0
604,16.0
605,28.0
606,24.0
607,13.0
608,28.0
609,12.0
610,12.0
611,10.0
612,13.0
613,12.0
614,11.0
615,17.0
616,19.0
617,23.0
618,16.0
619,18.0
620,20.0
621,12.0
622,11.0
623,13.0
624,14.0
625,14.0
626,25.0
627,10.0
628,32.0
629,19.0
630,11.0
631,17.0
632,25.0
633,44.0
634,23.0
635,17.0
636,13.0
637,10.0
638,20.0
639,28.0
640,17.0
641,12.0
642,14.0
643,36.0
644,53.0
645,24.0
646,26.0
647,15.0
648,91.0
649,50.0
650,25.0
651,46.0
652,40.0
653,34.0
654,21.0
655,45.0
656,23.0
657,45.0
658,18.0
659,24.0
660,28.0
661,70.0
662,17.0
663,16.0
664,12.0
665,14.0
666,16.0
667,27.0
668,8.0
669,14.0
670,11.0
671,12.0
672,12.0
673,31.0
674,13.0
675,24.0
676,19.0
677,20.0
678,13.0
679,15.0
680,12.0
681,12.0
682,8.0
683,16.0
684,18.0
685,13.0
686,12.0
687,15.0
688,12.0
689,12.0
690,18.0
691,9.0
692,12.0
693,11.0
694,19.0
695,15.0
696,9.0
697,15.0
698,15.0
699,14.0
700,9.0
701,19.0
702,17.0
703,15.0
704,9.0
705,11.0
706,11.0
707,15.0
708,13.0
709,15.0
710,15.0
711,17.0
712,12.0
713,26.0
714,15.0
715,9.0
716,24.0
717,12.0
718,11.0
719,11.0
720,10.0
721,11.0
722,13.0
723,16.0
724,12.0
725,14.0
726,10.0
727,21.0
728,17.0
729,9.0
730,10.0
731,21.0
732,16.0
733,12.0
734,16.0
735,15.0
736,27.0
737,9.0
738,47.0
739,18.0
740,21.0
741,13.0
742,12.0
743,12.0
744,12.0
745,12.0
746,16.0
747,20.0
748,8.0
749,15.0
750,13.0
751,20.0
752,9.0
753,10.0
754,21.0
755,17.0
756,10.0
757,16.0
758,11.0
759,13.0
760,69.0
761,19.0
762,11.0
763,13.0
764,16.0
765,14.0
766,8.0
767,13.0
768,17.0
769,11.0
770,12.0
771,16.0
772,11.0
773,14.0
774,25.0
775,13.0
776,11.0
777,11.0
778,13.0
779,21.0
780,32.0
781,9.0
782,29.0
783,12.0
784,11.0
785,86.0
786,21.0
787,25.0
788,39.0
789,16.0
790,26.0
791,48.0
792,14.0
793,69.0
794,94.0
795,64.0
796,10.0
797,76.0
798,56.0
799,53.0
800,62.0
801,59.0
802,80.0
803,14.0
804,18.0
805,52.0
806,32.0
807,9.0
808,31.0
809,28.0
810,31.0
811,39.0
812,13.0
813,36.0
814,33.0
815,12.0
816,16.0
817,20.0
818,64.0
819,20.0
820,38.0
821,81.0
822,12.0
823,19.0
824,15.0
825,19.0
826,29.0
827,20.0
828,20.0
829,20.0
830,16.0
831,21.0
832,16.0
833,18.0
834,9.0
835,21.0
836,26.0
837,23.0
838,12.0
839,22.0
840,63.0
841,36.0
842,9.0
843,32.0
844,13.0
845,67.0
846,27.0
847,18.0
848,31.0
849,27.0
850,27.0
851,19.0
852,35.0
853,16.0
854,41.0
855,12.0
856,72.0
857,71.0
858,16.0
859,15.0
860,19.0
861,25.0
862,105.0
863,9.0
864,98.0
865,16.0
866,25.0
867,33.0
868,20.0
869,17.0
870,10.0
871,91.0
872,78.0
873,67.0
874,30.0
875,77.0
876,138.0
877,100.0
878,27.0
879,12.0
880,17.0
881,16.0
882,120.0
883,22.0
884,188.0
885,166.0
886,42.0
887,12.0
888,57.0
889,118.0
890,30.0
891,105.0
892,66.0
893,178.0
894,200.0
895,113.0
896,200.0
897,128.0
898,40.0
899,147.0
900,16.0
901,18.0
902,22.0
903,39.0
904,155.0
905,196.0
906,116.0
907,26.0
908,13.0
909,72.0
910,22.0
911,143.0
912,71.0
913,200.0
914,190.0
915,115.0
916,91.0
917,130.0
918,200.0
919,180.0
920,134.0
921,170.0
922,200.0
923,109.0
924,132.0
925,157.0
926,146.0
927,31.0
928,200.0
929,165.0
930,31.0
931,168.0
932,200.0
933,71.0
934,70.0
935,200.0
936,27.0
937,200.0
938,200.0
939,200.0
940,200.0
941,200.0
942,60.0
943,157.0
944,200.0
945,200.0
946,164.0
947,200.0
948,168.0
949,200.0
950,200.0
951,200.0
952,158.0
953,200.0
954,127.0
955,111.0
956,140.0
957,167.0
958,21.0
959,200.0
960,200.0
961,20.0
962,200.0
963,148.0
964,133.0
965,133.0
966,120.0
967,27.0
968,155.0
969,200.0
970,197.0
971,148.0
972,119.0
973,91.0
974,176.0
975,24.0
976,200.0
977,200.0
978,200.0
979,157.0
980,127.0
981,128.0
982,162.0
983,161.0
984,200.0
985,190.0
986,194.0
987,200.0
988,136.0
989,107.0
990,35.0
991,118.0
992,17.0
993,63.0
994,148.0
995,155.0
996,143.0
997,93.0
998,67.0
999,200.0
1000,136.0
1001,100.0
1002,114.0
1003,31.0
1004,111.0
1005,160.0
1006,159.0
1007,169.0
1008,184.0
1009,35.0
1010,122.0
1011,142.0
1012,155.0
1013,200.0
1014,200.0
1015,111.0
1016,162.0
1017,161.0
1018,174.0
1019,180.0
1020,184.0
1021,200.0
1022,169.0
1023,146.0
1024,152.0
1025,164.0
1026,45.0
1027,119.0
1028,200.0
1029,170.0
