training_step, return
0,15.0
1,32.0
2,18.0
3,19.0
4,27.0
5,10.0
6,17.0
7,23.0
8,48.0
9,13.0
10,36.0
11,11.0
12,37.0
13,42.0
14,36.0
15,13.0
16,36.0
17,15.0
18,27.0
19,12.0
20,33.0
21,30.0
22,22.0
23,32.0
24,21.0
25,17.0
26,13.0
27,11.0
28,25.0
29,18.0
30,26.0
31,14.0
32,12.0
33,11.0
34,18.0
35,31.0
36,20.0
37,18.0
38,33.0
39,34.0
40,10.0
41,46.0
42,24.0
43,32.0
44,10.0
45,17.0
46,29.0
47,13.0
48,20.0
49,41.0
50,13.0
51,38.0
52,35.0
53,30.0
54,34.0
55,13.0
56,10.0
57,10.0
58,9.0
59,20.0
60,24.0
61,12.0
62,13.0
63,11.0
64,21.0
65,18.0
66,35.0
67,15.0
68,13.0
69,25.0
70,23.0
71,15.0
72,12.0
73,20.0
74,30.0
75,11.0
76,10.0
77,18.0
78,18.0
79,22.0
80,20.0
81,14.0
82,13.0
83,18.0
84,13.0
85,13.0
86,17.0
87,18.0
88,16.0
89,13.0
90,13.0
91,40.0
92,19.0
93,29.0
94,18.0
95,41.0
96,22.0
97,21.0
98,20.0
99,20.0
100,16.0
101,14.0
102,47.0
103,22.0
104,11.0
105,19.0
106,18.0
107,14.0
108,19.0
109,17.0
110,40.0
111,25.0
112,33.0
113,10.0
114,40.0
115,51.0
116,19.0
117,40.0
118,18.0
119,18.0
120,12.0
121,12.0
122,25.0
123,15.0
124,20.0
125,23.0
126,24.0
127,20.0
128,12.0
129,18.0
130,27.0
131,25.0
132,8.0
133,79.0
134,28.0
135,10.0
136,58.0
137,14.0
138,42.0
139,21.0
140,14.0
141,31.0
142,13.0
143,17.0
144,13.0
145,14.0
146,30.0
147,45.0
148,12.0
149,11.0
150,17.0
151,14.0
152,15.0
153,28.0
154,17.0
155,14.0
156,24.0
157,45.0
158,21.0
159,14.0
160,37.0
161,42.0
162,12.0
163,18.0
164,9.0
165,18.0
166,16.0
167,18.0
168,16.0
169,14.0
170,19.0
171,17.0
172,24.0
173,20.0
174,15.0
175,21.0
176,28.0
177,19.0
178,10.0
179,14.0
180,22.0
181,27.0
182,19.0
183,13.0
184,25.0
185,21.0
186,66.0
187,15.0
188,35.0
189,26.0
190,18.0
191,18.0
192,14.0
193,25.0
194,11.0
195,36.0
196,13.0
197,25.0
198,17.0
199,18.0
200,34.0
201,18.0
202,28.0
203,12.0
204,12.0
205,15.0
206,43.0
207,26.0
208,24.0
209,23.0
210,30.0
211,14.0
212,12.0
213,13.0
214,48.0
215,13.0
216,37.0
217,17.0
218,17.0
219,16.0
220,13.0
221,25.0
222,24.0
223,13.0
224,11.0
225,25.0
226,16.0
227,14.0
228,25.0
229,10.0
230,13.0
231,23.0
232,58.0
233,13.0
